vin,vehicle,vin_lookup_status,category,category_slug,assembly,assembly_title,source_url,illustration_url,illustration_file,status,sha256,bytes,part_count
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,air-bags,restraints--air-bags,2,"Side Curtain Air Bag, Right",https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/3f198f1fcf7e61b32baf7bfef4496142/6624876da67647c04da36717f819fc2f.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-02.png,cached,0219ed86ade847975b4f5b50c615ef6590be022ccd496f2d518c3a5ea87f7225,14331,0
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,air-bags,restraints--air-bags,3,Passenger Air Bag,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/8e6f7c855bf98da1e26f4c21927eed99/bb904e01c2bbf59aeb83ea563f269627.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png,cached,1eb0bb6ccc32747f38f981e0ba63ca468dbb95a6d26ee48d6aa1f3143918ee4f,33434,7
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,steering-column,steering--steering-column-and-intermediate-shaft,1,Steering Column 14,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/steering--steering-column-and-intermediate-shaft,https://cdn-illustrations.revolutionparts.io/strapr1/0af26c1a334e743196cdba9c1cc2a235/298a0b0e51d8021452688749fa9edda8.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/steering-column__assembly-01.png,cached,f0a10455e686141cf8c918c830661f89d41a4a7dcb4b4d722b3abc142019b4cf,19690,20
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,steering-wheel,steering--steering-wheel,1,Steering Wheel,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/steering--steering-wheel?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/99b557b375dcb04cc19f60d4e6861533/24ae5fc4d258220e88c980c292c2a295.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/steering-wheel__assembly-01.png,cached,eb31c5d39307edd8e98c082b7830cec7996885cd8bea6c9ff05e377feec5f871,27121,26
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,steering-wheel,steering--steering-wheel,2,Steering Wheel,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/steering--steering-wheel?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/2c0eb3eee58da60ac889a7a7b2a790dc/900732eec1160828dc58c25fe1272285.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/steering-wheel__assembly-02.png,cached,18875f0c2cbfbb7403c860f2ac6f1e22096e94d77c3ed5dab818f46c62e1a66c,30120,0
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,instrument-panel,interior-trim--instrument-panel,1,Screw 76,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--instrument-panel,https://cdn-illustrations.revolutionparts.io/strapr1/e81cade166feaa9c08f651f8d5dab10a/3d0011fffce7536cd64fdb52932207e7.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/instrument-panel__assembly-01.png,cached,e3653daa1939e03b84b25d2de305b6c238e070667ad9fff33f0078ac576ba7ca,85668,89
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,moparamerica_vin_search_failed_trim_inferred_from_nhtsa_and_catalog,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Hex Head Screw,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/5fbb8e40a27a63f737b68cb1a9a3ffe0/7aa4a7a515a4303017b5e0fe4cd8b87f.png,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-01.png,downloaded,e63f1c0d060a250d8be7bbd7a0de284b304bf70e217accdcaf3f5830d6241c35,37040,52
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,moparamerica_vin_search_failed_trim_inferred_from_nhtsa_and_catalog,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,2,Airbag Chute,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/a5780a5b4b3503719d4f90b6b46f8554/3daa229ed002bd08183b9d6edc296127.png,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-02.png,downloaded,fc52644bd23505e0f63a72f98b0b5c45a31f4cc779687dbc7ac8c0809cdf9b7c,39968,48
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,moparamerica_vin_search_failed_trim_inferred_from_nhtsa_and_catalog,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,3,Hex Head Screw,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/d1bb32b3ce86e258e0ef28fbca7b3187/a4b74e4188ce099bf4e4022478cdc65e.png,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png,downloaded,57cfc8f841f8bc6fc96ee0c99cfa276fe08931f44b05b928e33cb39c98be3b25,65202,21
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,moparamerica_vin_search_failed_trim_inferred_from_nhtsa_and_catalog,front-seats-first-row,interior-trim--front-seats-first-row,1,"Front Headrest, Right Or Left",https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-first-row?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/e85851f88604d99e6b7faa1f8e223f3d/5e487ab4ae50dcb2f98a8d41f9866861.png,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seats-first-row__assembly-01.png,downloaded,a991c64180eb65dcff7d381daf3707b003ae339af65e2157e85895454069b882,47647,20
