vin,vehicle,vin_lookup_status,category,category_slug,assembly,assembly_title,source_url,illustration_url,illustration_file,part_number,description,detail,part_url,catalog_status
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68102980AA,Chute,,https://www.moparamerica.com/oem-parts/mopar-airbag-chute-68102980aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68103691AA,Chute,,https://www.moparamerica.com/oem-parts/mopar-airbag-chute-68103691aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,1UV50DX9AA,Cover,,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv50dx9aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,1UV51DX9AA,Cover,,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv51dx9aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,1UW25DX9AB,Cover,,https://www.moparamerica.com/oem-parts/mopar-front-seat-anchor-bolt-cover-left-1uw25dx9ab,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68102131AA,Frame,,https://www.moparamerica.com/oem-parts/mopar-front-seat-back-frame-68102131aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68104427AA,Frame,,https://www.moparamerica.com/oem-parts/mopar-front-seat-back-frame-68104427aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68104489AA,Frame,,https://www.moparamerica.com/oem-parts/mopar-front-seat-back-frame-68104489aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68159137AA,Frame,,https://www.moparamerica.com/oem-parts/mopar-front-seat-back-frame-68159137aa,catalog_candidate; option/sales-code qualifier not resolved
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,68159139AA,Frame,,https://www.moparamerica.com/oem-parts/mopar-front-seat-back-frame-68159139aa,catalog_candidate; option/sales-code qualifier not resolved
