model,trim,engine,category,part_number,normalized_part_number,description,detail,evidence_url
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Oiling Oil Pan And Indicator Dipstick,6105038AA,6105038AA,Hex Flange Head Bolt,![Image 8: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $8.80 | $5.78 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Timing Belt Chain And Cover And Balance Shaft,6104221AA,6104221AA,Hex Flange Head Bolt,![Image 7: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | MSRP  $15.00 | $9.90 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--timing-belt-chain-and-cover-and-balance-shaft
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,4663722,4663722,Valve Spring Retainer Lock,![Image 50: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Exhaust Valves. | MSRP  $3.65 | $2.31,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5048025AA,5048025AA,Valve Guide Seal,![Image 58: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** But All One Color Must Be Used On The Cylinder Head At The Same Time.. Black. | MSRP  $4.95 | $3.25,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184060AN,5184060AN,Valve Spring,![Image 54: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $10.70 | $6.93 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184126AB,5184126AB,Valve Spring Retainer,![Image 52: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $3.35 | $2.15 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184127AC,5184127AC,Intake Valve,![Image 64: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** Standard. | MSRP  $25.00 | $16.50,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184128AE,5184128AE,Exhaust Valve,![Image 62: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Standard. | MSRP  $34.95 | $22.83,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184167AB,5184167AB,Valve Spring Seat,![Image 60: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $3.30 | $2.09 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184168AB,5184168AB,Valve Guide Seal,![Image 56: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Brown. But All One Color Must Be Used On The Cylinder Head At The Same Time. | MSRP  $13.35 | $8.80,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184296AH,5184296AH,2011 2020 Mopar Valve Rocker Arm,![Image 46: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** VALVE | MSRP  $30.00 | $19.80,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184332AA,5184332AA,Valve Lash Adjuster,![Image 48: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Exhaust. Intake. | MSRP  $26.70 | $17.60,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184377AH,5184377AH,Exhaust Camshaft Left Side,![Image 42: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** EXHAUST | MSRP  $553.00 | $361.90,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184378AH,5184378AH,Exhaust Camshaft Right Side,![Image 44: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** EXHAUST | MSRP  $541.00 | $353.10,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184379AH,5184379AH,Intake Camshaft Left Side,![Image 40: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** INTAKE | MSRP  $541.00 | $353.10,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,5184380AH,5184380AH,Intake Camshaft Right Side,![Image 38: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** INTAKE | MSRP  $541.00 | $353.10,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,6509455AA,6509455AA,6 Lobe Recessed Head Bolt Mounting Right Side Cylinder Head,"![Image 36: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Oil Pump Tensioner To Oil Pump. M6x1.00x34.00. Camshaqft Cap To Cylinder Head. Mounting Left Side, Camshaft Cap to Cylinder Head. | MSRP  $3.85 | $2.42",https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankcase Ventilation,5184805AE,5184805AE,Make Up Air Hose,![Image 13: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** For Vehicles Built up to and Including 08-28-2013. | MSRP  $32.00 | $20.90,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankcase-ventilation
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankcase Ventilation,6509625AA,6509625AA,6 Lobe Screw And Washer,![Image 19: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** M5x0.8x15.00. PVC Valve to Right Hand Valve Cover. Actuator To Cylinder Head. M5x0.8x20. Footman Loop Attaching. PCV Valve To Cylinder Head. Actuater to valve cover. Frame Bracket. Footman Loop to Windshield. Lop to Windshield Frame. | MSRP  $3.45 | $2.26,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankcase-ventilation
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankcase Ventilation,68083202AC,68083202AC,Pcv Valve,![Image 17: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $56.05 | $36.96 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankcase-ventilation
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankcase Ventilation,68105837AA,68105837AA,Pcv Hose,![Image 15: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $28.60 | $18.76 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankcase-ventilation
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,4752463AB,4752463AB,Torque Converter Drive Plate,![Image 82: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. **Transmissions:** 8-SPD AUTO 845RE TRANS (MAKE). | MSRP  $72.55 | $47.69 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,4752465AA,4752465AA,Flex Plate Or Flywheel Backing Plate,![Image 84: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. **Transmissions:** 8-SPD AUTO 845RE TRANS (MAKE). | MSRP  $21.75 | $14.19 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184086AH,5184086AH,Crankshaft Lower Bearing,![Image 46: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** +.0072mm. See Note. Class 1. | MSRP  $37.90 | $24.75,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184087AH,5184087AH,Crankshaft Lower Bearing,![Image 56: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** +.0036mm. See Note. Class 2. | MSRP  $36.80 | $24.04,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184088AH,5184088AH,Crankshaft Lower Bearing,![Image 70: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** Standard. See Note. Class 3. | MSRP  $47.65 | $31.24,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184089AH,5184089AH,Crankshaft Lower Bearing,![Image 60: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** -.0036mm. See Note. Class 4. | MSRP  $46.45 | $30.36,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184090AH,5184090AH,Crankshaft Lower Bearing,![Image 58: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** -.0072mm. See Note. Class 5. | MSRP  $34.85 | $22.77,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
