model,trim,slug,category,category_slug,source_url,part_number,normalized_part_number,description,detail,product_url
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,exterior-mirror,doors-door-mirrors-and-related-parts--exterior-mirror,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--exterior-mirror,68048447AA,68048447AA,Mirror Replacement Glass Left,![Image 55: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** With Sales Code [GUK or GUL]. | MSRP  $39.30 | $25.91,https://www.moparamerica.com/oem-parts/mopar-mirror-replacement-glass-left-68048447aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,exterior-mirror,doors-door-mirrors-and-related-parts--exterior-mirror,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--exterior-mirror,68252724AB,68252724AB,Mirror Replacement Glass Right,![Image 57: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $127.00 | $83.27 | +,https://www.moparamerica.com/oem-parts/mopar-mirror-replacement-glass-right-68252724ab
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,exterior-mirror,doors-door-mirrors-and-related-parts--exterior-mirror,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--exterior-mirror,6101443,6101443,Hex Nut And Washer,![Image 59: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** M5x.80. Front Glass Run. Bracket Wiring-Valve Cover. Lock housing attaching. Lock housing to i/p. Lock housing to instrument panel. Tail lamp to liftgate. | MSRP  $7.55 | $4.95,https://www.moparamerica.com/oem-parts/mopar-hex-nut-and-washer-6101443
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,55359618AB,55359618AB,Body Panel Deadener,![Image 69: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** See Illustration 225. Deadener Patch. B Pillar. Front Door Outer Panel. | *Not For Sale** | *Not For Sale**,https://www.moparamerica.com/oem-parts/mopar-body-panel-deadener-55359618ab
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68184930AA,68184930AA,Door Handle Bracket Right,![Image 71: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** Inside Release. | MSRP  $16.35 | $10.78,https://www.moparamerica.com/oem-parts/mopar-door-handle-bracket-right-68184930aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68195666AA,68195666AA,Window Motor Screw,![Image 73: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $2.15 | $1.38 | +,https://www.moparamerica.com/oem-parts/mopar-window-motor-screw-68195666aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68184931AA,68184931AA,Door Handle Bracket Left,![Image 75: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** Inside Release. | MSRP  $14.65 | $9.63,https://www.moparamerica.com/oem-parts/mopar-door-handle-bracket-left-68184931aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,55276821AA,55276821AA,Round Black Tape,![Image 77: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** Front Door Mirror Flag. Latch Adjustment Hole. O/S Handle Attach Access Hole. Pinch Sensor Holes. Door Handle Access Hole. Latch Adjustment Plug. A-Pillar Door Inner Panel 19mm Diameter. Drain Hole Patch. | MSRP  $6.75 | $4.46,https://www.moparamerica.com/oem-parts/mopar-round-black-tape-55276821aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84KBXAM,1MZ84KBXAM,Front Door Exterior Handle Right,![Image 79: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $222.00 | $145.20,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84kbxam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85RY4AM,1MZ85RY4AM,Front Door Exterior Handle Left,![Image 81: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $204.00 | $134.20 | +,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85ry4am
